City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,namtsy,62.7161,129.6658,-6.77,92,100,1.6,RU,1728846231
223,tafuna,-14.3358,-170.72,28.97,74,40,4.12,AS,1728846232
224,shakiso,5.75,38.9167,16.26,89,98,0.41,ET,1728846233
225,kirensk,57.7853,108.1119,-6.96,79,100,2.41,RU,1728846234
226,kapuskasing,49.4169,-82.4331,7.05,53,20,4.12,CA,1728846235
227,palmer,42.1584,-72.3287,8.75,68,100,2.06,US,1728846236
228,campo gallo,-26.5833,-62.85,33.85,35,9,4.76,AR,1728846237
229,tamiahua,21.2667,-97.45,28.11,63,35,3.34,MX,1728846238
230,karratha,-20.7377,116.8463,26.77,18,6,5.65,AU,1728846239
231,lerwick,60.1545,-1.1494,5.04,56,13,2.51,GB,1728846240
232,timimoun,29.2639,0.231,36.21,12,0,2.57,DZ,1728846241
233,toliara,-23.35,43.6667,22.59,68,0,1.8,MG,1728846243
234,kavaratti,10.5669,72.642,26.53,85,95,2.7,IN,1728846244
235,manggar,-2.8833,108.2667,26.66,80,100,0.28,ID,1728846245
236,lata,40.1629,-8.3327,16.88,85,0,1.33,PT,1728846246
237,alakurtti,66.9672,30.3491,2.36,97,100,1.33,RU,1728846247
238,bandon,51.7469,-8.7425,10.77,96,100,4.7,IE,1728846248
239,la gi,10.6667,107.7833,25.62,87,100,1.77,VN,1728846249
240,limassol,34.675,33.0333,25.66,83,0,4.12,CY,1728846250
241,barcelos,41.5388,-8.6151,19.24,81,100,0.85,PT,1728846251
242,peniche,39.3558,-9.3811,21.78,85,16,1.7,PT,1728846252
243,achi,8.5682,-74.554,34.58,51,100,1.03,CO,1728846253
244,christchurch,-43.5333,172.6333,6.9,84,57,1.79,NZ,1728846064
245,fort bragg,35.139,-79.006,27.73,38,0,5.14,US,1728846111
246,nagqu,31.5,92.0,0.59,36,99,0.48,CN,1728846256
247,metlili chaamba,32.2667,3.6333,27.52,36,0,5.14,DZ,1728846258
248,tura,25.5198,90.2201,20.79,94,0,1.69,IN,1728846259
249,hermanus,-34.4187,19.2345,15.45,83,10,4.69,ZA,1728846260
250,bull savanna,17.8868,-77.5902,29.6,65,64,8.43,JM,1728846261
251,la'ie,21.6477,-157.9253,27.28,74,14,3.13,US,1728846262
252,feijo,-8.1642,-70.3536,34.71,41,39,3.89,BR,1728846212
253,qingdao,36.0986,120.3719,16.78,100,75,3.0,CN,1728846264
254,raychikhinsk,49.7838,129.4121,7.84,63,100,6.62,RU,1728846265
255,ouargaye,11.5033,0.0572,28.79,63,18,3.11,BF,1728846266
256,bel ombre,-4.6167,55.4167,27.91,74,40,7.2,SC,1728846267
257,howrah,22.5892,88.3103,28.0,78,20,2.06,IN,1728846268
258,ilave,-16.0833,-69.6667,15.37,30,48,6.23,PE,1728846269
259,hirado,33.3597,129.5531,22.0,64,38,1.7,JP,1728846270
260,nar'yan-mar,67.6713,53.087,0.84,94,25,5.4,RU,1728846271
261,walvis bay,-22.9575,14.5053,18.53,68,100,1.54,NA,1728846273
262,mar del plata,-38.0023,-57.5575,17.75,72,5,5.36,AR,1728846219
263,shenjiamen,29.9576,122.298,23.06,90,5,3.05,CN,1728846275
264,saint-pierre,-21.3393,55.4781,21.82,73,20,9.26,RE,1728846276
265,san fernando de apure,7.8878,-67.4724,30.13,74,100,0.46,VE,1728846277
266,castro,-24.7911,-50.0119,25.31,43,22,3.25,BR,1728846144
267,arawa,-6.2132,155.5367,25.34,92,65,1.6,PG,1728846279
268,mikun',62.3547,50.0771,1.42,76,100,2.28,RU,1728846280
269,al burayqah,30.4062,19.5739,24.41,67,0,7.78,LY,1728846281
270,robertsport,6.7533,-11.3686,26.11,85,100,5.19,LR,1728846282
271,pyapon,16.2833,95.6833,24.31,96,100,2.08,MM,1728846284
272,nushki,29.5542,66.0215,22.26,10,0,2.34,PK,1728846285
273,castillos,-34.1667,-53.8333,18.3,66,100,3.29,UY,1728846287
274,abatskoye,56.2875,70.4555,-3.22,85,96,2.16,RU,1728846288
275,nantucket,41.2835,-70.0995,15.64,84,12,9.47,US,1728846099
276,white hall,34.274,-92.091,31.03,50,0,0.45,US,1728846290
277,kununurra,-15.7667,128.7333,25.99,83,40,3.6,AU,1728846291
278,masuguru,-11.3667,38.4167,27.79,52,22,5.09,TZ,1728846292
279,arraial do cabo,-22.9661,-42.0278,24.98,78,20,6.17,BR,1728846293
280,bechar,31.6167,-2.2167,28.18,26,77,7.72,DZ,1728846294
281,williams lake,52.1415,-122.1445,13.76,66,75,4.12,CA,1728846296
282,fernie,49.5,-115.0687,17.13,30,6,2.44,CA,1728846012
283,constantia,44.1833,28.65,11.38,64,97,2.48,RO,1728846245
284,barnoldswick,53.9171,-2.1871,6.81,84,100,1.23,GB,1728846300
285,hailar,49.2,119.7,12.21,68,100,8.59,CN,1728846200
286,banaz,38.7371,29.7519,15.79,60,100,2.94,TR,1728846302
287,llandrindod wells,52.2416,-3.3787,4.97,90,100,0.67,GB,1728846303
288,al jawf,29.5,38.75,25.07,31,0,3.1,SA,1728846304
289,palikir - national government center,6.9248,158.1611,28.97,73,98,6.83,FM,1728846305
290,micheweni,-4.9667,39.8333,25.03,84,6,4.82,TZ,1728846306
291,vila velha,-20.3297,-40.2925,25.97,75,100,8.75,BR,1728846122
292,port blair,11.6667,92.75,27.02,89,40,1.03,IN,1728846309
293,la passe,45.5549,-0.8967,18.88,81,57,3.57,FR,1728846310
294,thunder bay,48.4001,-89.3168,7.95,81,100,3.09,CA,1728846189
295,callao,-12.0667,-77.15,19.16,72,75,5.66,PE,1728846312
296,saudarkrokur,65.7461,-19.6394,-2.26,61,0,1.24,IS,1728846116
297,kasulu,-4.5767,30.1025,22.09,56,24,1.4,TZ,1728846314
298,barbacoas,1.6715,-78.1398,28.42,82,100,1.97,CO,1728846315
299,araban,37.4267,37.689,23.39,59,3,4.11,TR,1728846317
300,andrushivka,50.0229,29.0202,9.06,57,100,3.37,UA,1728846318
301,timbuktu,16.7735,-3.0074,38.14,13,12,3.61,ML,1728846320
302,kristinestad,62.2743,21.376,6.33,90,100,3.29,FI,1728846321
303,gadani,25.1185,66.7299,28.75,63,99,0.9,PK,1728846322
304,pyay,18.8167,95.2167,24.34,92,26,0.83,MM,1728846323
305,gorontalo,0.5412,123.0595,23.82,97,31,0.87,ID,1728846324
306,polyarnyy,69.1989,33.4478,3.99,65,100,8.74,RU,1728846325
307,al kharijah,25.4514,30.5464,28.62,26,0,2.82,EG,1728846327
308,melekeok village,7.4957,134.6367,28.27,71,100,2.87,PW,1728846328
309,ilula,-7.6766,36.0366,17.96,62,46,2.42,TZ,1728846329
310,ancud,-41.8697,-73.8203,12.1,75,22,3.16,CL,1728846330
311,vega de alatorre,20.0333,-96.6333,27.75,64,0,4.48,MX,1728846332
312,kolokani,13.5728,-8.0339,27.65,67,83,3.54,ML,1728846333
313,alexandria,31.2156,29.9553,25.7,73,0,2.74,EG,1728846209
314,molchanovo,57.5817,83.7692,-4.1,63,50,2.54,RU,1728846335
315,parfino,57.9731,31.6481,7.2,89,100,3.94,RU,1728846336
316,aykhal,66.0,111.5,-16.41,100,100,3.27,RU,1728846338
317,quellon,-43.1167,-73.6167,11.38,79,97,1.02,CL,1728846339
318,colonia,50.9333,6.95,9.42,83,0,0.51,DE,1728846157
319,luanda,-8.8368,13.2343,25.0,78,20,5.66,AO,1728846341
320,vernon,50.2581,-119.2691,13.74,54,100,0.51,CA,1728846342
321,santa terezinha,-29.9002,-50.0904,19.5,79,0,10.11,BR,1728846343
322,tralee,52.2704,-9.7026,10.23,96,100,2.6,IE,1728846344
323,vila franca do campo,37.7167,-25.4333,23.23,92,100,3.66,PT,1728846345
324,tamanrasset,22.785,5.5228,27.95,14,0,2.57,DZ,1728846134
325,bardai,11.65,7.2333,26.72,59,100,3.44,NG,1728846347
326,kimbe,-5.5502,150.1429,24.39,91,76,1.74,PG,1728846348
327,greymouth,-42.4667,171.2,5.51,83,99,3.34,NZ,1728846349
328,coron,11.9986,120.2043,25.69,88,100,1.23,PH,1728846350
329,dolores,-36.3132,-57.6792,23.73,45,100,4.87,AR,1728846351
330,lasem,-6.6922,111.4527,27.38,78,99,2.26,ID,1728846352
331,sao vicente,-23.9631,-46.3919,21.1,26,100,3.6,BR,1728846327
332,hays,30.0502,-98.0336,36.85,25,0,5.95,US,1728846355
333,campbell river,50.0163,-125.2446,15.21,77,75,4.63,CA,1728846356
334,tangalle,6.024,80.7911,24.52,88,100,3.04,LK,1728846357
335,ust'-kulom,61.6864,53.6902,-1.13,84,100,1.82,RU,1728846358
336,malayer,34.2969,48.8235,15.37,30,1,1.58,IR,1728846359
337,odesskoye,54.2111,72.9651,-6.81,86,4,1.91,RU,1728846360
338,essaouira,31.5125,-9.77,19.84,86,95,6.6,MA,1728846361
339,roja,57.5,22.8167,10.42,64,100,7.33,LV,1728846363
340,bathsheba,13.2167,-59.5167,31.34,66,20,8.23,BB,1728846073
341,ukrainka,50.1432,30.7461,8.88,93,96,2.98,UA,1728846365
342,olinda,-8.0089,-34.8553,27.85,69,40,4.63,BR,1728846367
343,nabire,-3.3667,135.4833,24.39,94,100,1.63,ID,1728846368
344,vilyuysk,63.7553,121.6247,-11.13,98,100,1.0,RU,1728846362
345,harper,4.375,-7.7169,24.31,89,100,2.34,LR,1728846370
346,"laikit, laikit ii (dimembe)",1.4792,124.9735,21.47,94,20,0.51,ID,1728846371
347,leava,-14.3,-178.1667,26.73,83,100,6.93,WF,1728846372
348,zhoushan,30.0108,122.2047,23.21,90,5,3.3,CN,1728846373
349,muisne,0.6,-80.0333,25.9,78,100,5.0,EC,1728846374
350,souillac,-20.5167,57.5167,23.21,68,75,8.23,MU,1728846377
351,mhamid,29.82,-5.72,23.12,49,100,7.16,MA,1728846378
352,sept-iles,50.2001,-66.3821,12.29,59,75,2.57,CA,1728846082
353,vitoria da conquista,-14.8661,-40.8394,30.58,33,87,4.62,BR,1728846257
354,wynyard,-41.0,145.7167,10.66,84,32,0.45,AU,1728846381
355,east london,-33.0153,27.9116,19.52,94,75,2.57,ZA,1728846383
356,ocean city,39.2776,-74.5746,27.32,69,3,4.47,US,1728846341
357,yangambi,0.8102,24.4336,22.94,87,77,1.26,CD,1728846385
358,igarka,67.4667,86.5833,0.52,98,100,7.31,RU,1728846386
359,as sulayyil,20.4607,45.5779,30.22,18,23,4.32,SA,1728846387
360,ust-nera,64.5667,143.2,-7.54,95,87,1.99,RU,1728846388
361,vyshniy volochek,57.5913,34.5645,5.58,90,100,5.53,RU,1728846390
362,shaowu,27.3409,117.4831,20.32,88,81,0.38,CN,1728846391
363,aberdeen,57.1437,-2.0981,3.63,94,100,0.51,GB,1728846392
